,자치구,행정동,점수,순위
112,관악구,서림동,0.10524234426224462,113
113,성북구,장위1동,0.10293652339951977,114
114,관악구,보라매동,0.0989870893450778,115
115,강동구,천호3동,0.09504136908815031,116
116,은평구,진관동,0.08963639425738468,117
117,영등포구,신길1동,0.08701119749432533,118
118,관악구,성현동,0.08666180606765328,119
119,성북구,종암동,0.0773427939320756,120
120,동작구,사당1동,0.06674903988904113,121
121,동대문구,전농2동,0.06458494073823132,122
122,금천구,독산3동,0.06317958054552747,123
123,도봉구,창5동,0.0477828676422397,124
124,영등포구,여의동,0.04382165202904066,125
125,양천구,신월2동,0.04005086190985378,126
126,양천구,신월3동,0.03786130171987018,127
127,성북구,돈암1동,0.028753609555032353,128
128,노원구,하계1동,0.023334830390585648,129
129,강서구,화곡8동,0.015819153874625957,130
130,영등포구,대림1동,0.015270932893186276,131
131,은평구,신사2동,0.009856656576575584,132
132,성북구,월곡2동,0.009564999503205204,133
133,양천구,신정7동,0.0012956840521544943,134
134,영등포구,대림2동,-0.0002980164027587412,135
135,동대문구,이문1동,-0.0011840979603305185,136
136,성북구,삼선동,-0.009049002573174453,137
137,서대문구,홍은1동,-0.011982852222798226,138
138,노원구,상계2동,-0.013139847103853866,139
139,금천구,시흥2동,-0.024122064330702533,140
140,중랑구,면목4동,-0.027800559004249492,141
141,강서구,화곡6동,-0.03538946073644057,142
142,동대문구,장안1동,-0.03917712450063621,143
143,강동구,성내3동,-0.04554058671616716,144
144,관악구,인헌동,-0.049180548427537316,145
145,구로구,개봉1동,-0.053017773474839935,146
146,동작구,흑석동,-0.05318481431260587,147
147,동대문구,답십리1동,-0.05652114130039548,148
148,중랑구,중화1동,-0.0670840029184793,149
149,서대문구,연희동,-0.0755354659561634,150
150,노원구,상계6.7동,-0.07617041387748684,151
151,은평구,응암1동,-0.08020737902674181,152
152,관악구,청룡동,-0.08185477077932062,153
153,은평구,증산동,-0.08196531119403157,154
154,구로구,고척1동,-0.09945616598765138,155
155,서대문구,남가좌2동,-0.09963818455301866,156
156,도봉구,창1동,-0.1021143080017502,157
157,중랑구,상봉2동,-0.11595339692808886,158
158,마포구,공덕동,-0.12100408301712742,159
159,영등포구,도림동,-0.12161574263788759,160
160,영등포구,신길3동,-0.12685358953314058,161
161,마포구,망원1동,-0.12707045921559174,162
162,동대문구,휘경2동,-0.15580004842472672,163
163,동작구,사당4동,-0.15635252972957703,164
164,성북구,성북동,-0.1574427421254117,165
165,강서구,화곡본동,-0.16859524459866565,166
166,금천구,독산4동,-0.18362368384574929,167
167,관악구,조원동,-0.1909630588007264,168
168,구로구,구로5동,-0.19098911385697326,169
169,영등포구,당산1동,-0.19468091073152538,170
170,서대문구,홍제2동,-0.19580879969802456,171
171,노원구,상계9동,-0.1974739536894371,172
172,관악구,신사동,-0.20105143486928917,173
173,동작구,상도1동,-0.20880235429486238,174
174,영등포구,신길6동,-0.2123627201945385,175
175,강동구,둔촌2동,-0.21456712056962612,176
176,관악구,중앙동,-0.22057597439328508,177
177,양천구,목2동,-0.22398109090848256,178
178,마포구,도화동,-0.2271155442217599,179
179,도봉구,창4동,-0.24630652261371405,180
180,강서구,화곡2동,-0.25854705691795943,181
181,강북구,삼각산동,-0.26458248585672706,182
182,영등포구,신길4동,-0.2649293677170369,183
183,강서구,공항동,-0.26729291919754883,184
184,노원구,공릉2동,-0.2675382007467767,185
185,동작구,사당3동,-0.2726998716682437,186
186,양천구,신월5동,-0.27590447199419244,187
187,강서구,우장산동,-0.2770024649289582,188
188,중랑구,상봉1동,-0.2848619167459569,189
189,관악구,남현동,-0.2925093873904836,190
190,마포구,망원2동,-0.2930254364703133,191
191,금천구,독산1동,-0.30267448391650664,192
192,중랑구,신내2동,-0.31678633145275037,193
193,영등포구,영등포본동,-0.33050830482096044,194
194,영등포구,신길5동,-0.3426694156474427,195
195,강서구,등촌2동,-0.3503700111482474,196
196,마포구,성산1동,-0.35064720970406127,197
197,동작구,신대방1동,-0.35215894791196833,198
198,마포구,합정동,-0.3557220742853615,199
199,노원구,하계2동,-0.3583888034015038,200
200,도봉구,쌍문4동,-0.36031063075695546,201
201,서대문구,천연동,-0.3686388531210886,202
202,마포구,연남동,-0.38649906917721,203
203,양천구,목3동,-0.38914824308807616,204
204,강동구,명일1동,-0.39373499424321334,205
205,성북구,안암동,-0.3950341151189236,206
206,성북구,정릉1동,-0.39862732560325975,207
207,동작구,상도2동,-0.40749208600309916,208
